# Two-band fit (min. chi^2) for beta = 1.50000, 1.75000, 2.00000
# Bands used: ALMA_7 ALMA_3
#     z| beta| Treal| wl_rest_1| wl_rest_2|   Tfit|     Mfit|    dMfit|

    5.00  1.50   20.0     145.46     512.47   21.28  1.22E+09  1.08E+08
    5.00  1.50   25.0     145.46     512.47   26.75  1.38E+09  1.22E+08
    5.00  1.50   30.0     145.46     512.47   31.88  1.50E+09  1.35E+08
    5.00  1.50   35.0     145.46     512.47   36.54  1.64E+09  1.46E+08
    5.00  1.50   40.0     145.46     512.47   40.91  1.76E+09  1.56E+08
    5.00  1.50   45.0     145.46     512.47   44.72  1.91E+09  1.68E+08
    5.00  1.50   50.0     145.46     512.47   48.30  2.06E+09  1.84E+08
    5.00  1.50   60.0     145.46     512.47   53.25  2.47E+09  2.19E+08
    5.00  1.50   80.0     145.46     512.47   59.01  3.48E+09  3.10E+08
    5.00  1.50  100.0     145.46     512.47   59.53  5.00E+09  4.51E+08

    5.00  1.75   20.0     145.46     512.47   17.83  3.69E+09  3.29E+08
    5.00  1.75   25.0     145.46     512.47   21.94  2.33E+09  2.07E+08
    5.00  1.75   30.0     145.46     512.47   25.43  2.34E+09  2.09E+08
    5.00  1.75   35.0     145.46     512.47   28.35  2.50E+09  2.22E+08
    5.00  1.75   40.0     145.46     512.47   30.90  2.70E+09  2.39E+08
    5.00  1.75   45.0     145.46     512.47   33.00  2.96E+09  2.60E+08
    5.00  1.75   50.0     145.46     512.47   34.86  3.23E+09  2.88E+08
    5.00  1.75   60.0     145.46     512.47   37.27  3.95E+09  3.50E+08
    5.00  1.75   80.0     145.46     512.47   39.88  5.73E+09  5.11E+08
    5.00  1.75  100.0     145.46     512.47   40.10  8.26E+09  7.45E+08

    5.00  2.00   25.0     145.46     512.47   18.35  5.94E+09  5.27E+08
    5.00  2.00   30.0     145.46     512.47   20.98  4.16E+09  3.73E+08
    5.00  2.00   35.0     145.46     512.47   23.06  4.05E+09  3.61E+08
    5.00  2.00   40.0     145.46     512.47   24.79  4.23E+09  3.74E+08
    5.00  2.00   45.0     145.46     512.47   26.16  4.56E+09  4.01E+08
    5.00  2.00   50.0     145.46     512.47   27.33  4.93E+09  4.41E+08
    5.00  2.00   60.0     145.46     512.47   28.80  6.03E+09  5.34E+08
    5.00  2.00   80.0     145.46     512.47   30.32  8.75E+09  7.80E+08
    5.00  2.00  100.0     145.46     512.47   30.45  1.26E+10  1.14E+09


    6.00  1.50   20.0     124.68     439.26   20.58  1.03E+09  9.06E+07
    6.00  1.50   25.0     124.68     439.26   25.74  1.49E+09  1.32E+08
    6.00  1.50   30.0     124.68     439.26   30.66  1.62E+09  1.43E+08
    6.00  1.50   35.0     124.68     439.26   35.03  1.78E+09  1.58E+08
    6.00  1.50   40.0     124.68     439.26   39.46  1.87E+09  1.68E+08
    6.00  1.50   45.0     124.68     439.26   43.40  2.00E+09  1.81E+08
    6.00  1.50   50.0     124.68     439.26   46.97  2.15E+09  1.93E+08
    6.00  1.50   60.0     124.68     439.26   53.13  2.45E+09  2.18E+08
    6.00  1.50   80.0     124.68     439.26   60.57  3.33E+09  2.95E+08
    6.00  1.50  100.0     124.68     439.26   64.34  4.44E+09  3.95E+08

    6.00  1.75   25.0     124.68     439.26   21.52  3.57E+09  3.16E+08
    6.00  1.75   30.0     124.68     439.26   25.19  2.68E+09  2.36E+08
    6.00  1.75   35.0     124.68     439.26   28.24  2.71E+09  2.40E+08
    6.00  1.75   40.0     124.68     439.26   31.12  2.77E+09  2.48E+08
    6.00  1.75   45.0     124.68     439.26   33.54  2.94E+09  2.66E+08
    6.00  1.75   50.0     124.68     439.26   35.63  3.16E+09  2.84E+08
    6.00  1.75   60.0     124.68     439.26   39.00  3.66E+09  3.26E+08
    6.00  1.75   80.0     124.68     439.26   42.75  5.09E+09  4.51E+08
    6.00  1.75  100.0     124.68     439.26   44.51  6.90E+09  6.14E+08

    6.00  2.00   30.0     124.68     439.26   21.09  7.12E+09  6.28E+08
    6.00  2.00   35.0     124.68     439.26   23.43  4.99E+09  4.42E+08
    6.00  2.00   40.0     124.68     439.26   25.53  4.52E+09  4.04E+08
    6.00  2.00   45.0     124.68     439.26   27.23  4.56E+09  4.12E+08
    6.00  2.00   50.0     124.68     439.26   28.64  4.78E+09  4.29E+08
    6.00  2.00   60.0     124.68     439.26   30.84  5.41E+09  4.82E+08
    6.00  2.00   80.0     124.68     439.26   33.15  7.48E+09  6.63E+08
    6.00  2.00  100.0     124.68     439.26   34.21  1.01E+10  9.02E+08


    7.00  1.50   25.0     109.09     384.35   25.17  1.61E+09  1.41E+08
    7.00  1.50   30.0     109.09     384.35   29.89  1.76E+09  1.54E+08
    7.00  1.50   35.0     109.09     384.35   34.39  1.86E+09  1.62E+08
    7.00  1.50   40.0     109.09     384.35   38.60  1.98E+09  1.77E+08
    7.00  1.50   45.0     109.09     384.35   42.52  2.10E+09  1.86E+08
    7.00  1.50   50.0     109.09     384.35   46.19  2.21E+09  1.96E+08
    7.00  1.50   60.0     109.09     384.35   52.50  2.50E+09  2.17E+08
    7.00  1.50   80.0     109.09     384.35   61.19  3.24E+09  2.86E+08
    7.00  1.50  100.0     109.09     384.35   66.07  4.20E+09  3.69E+08

    7.00  1.75   30.0     109.09     384.35   24.96  3.81E+09  3.33E+08
    7.00  1.75   35.0     109.09     384.35   28.33  3.04E+09  2.65E+08
    7.00  1.75   40.0     109.09     384.35   31.29  2.96E+09  2.65E+08
    7.00  1.75   45.0     109.09     384.35   33.91  3.03E+09  2.68E+08
    7.00  1.75   50.0     109.09     384.35   36.25  3.16E+09  2.79E+08
    7.00  1.75   60.0     109.09     384.35   40.04  3.55E+09  3.09E+08
    7.00  1.75   80.0     109.09     384.35   44.82  4.68E+09  4.13E+08
    7.00  1.75  100.0     109.09     384.35   47.31  6.15E+09  5.41E+08

    7.00  2.00   35.0     109.09     384.35   23.74  8.67E+09  7.56E+08
    7.00  2.00   40.0     109.09     384.35   26.04  5.61E+09  5.03E+08
    7.00  2.00   45.0     109.09     384.35   27.98  5.02E+09  4.44E+08
    7.00  2.00   50.0     109.09     384.35   29.66  4.90E+09  4.33E+08
    7.00  2.00   60.0     109.09     384.35   32.28  5.22E+09  4.54E+08
    7.00  2.00   80.0     109.09     384.35   35.40  6.69E+09  5.90E+08
