   10.00| 2.603E-24
   10.15| 7.268E-24
   10.31| 1.996E-23
   10.47| 5.391E-23
   10.63| 1.433E-22
   10.80| 3.748E-22
   10.96| 9.650E-22
   11.13| 2.447E-21
   11.31| 6.110E-21
   11.48| 1.503E-20
   11.66| 3.643E-20
   11.84| 8.703E-20
   12.02| 2.049E-19
   12.21| 4.759E-19
   12.40| 1.090E-18
   12.59| 2.462E-18
   12.78| 5.486E-18
   12.98| 1.207E-17
   13.18| 2.619E-17
   13.39| 5.613E-17
   13.59| 1.188E-16
   13.80| 2.482E-16
   14.02| 5.124E-16
   14.23| 1.045E-15
   14.45| 2.106E-15
   14.68| 4.195E-15
   14.91| 8.261E-15
   15.14| 1.608E-14
   15.37| 3.096E-14
   15.61| 5.894E-14
   15.85| 1.110E-13
   16.09| 2.069E-13
   16.34| 3.814E-13
   16.60| 6.960E-13
   16.85| 1.257E-12
   17.11| 2.248E-12
   17.38| 3.980E-12
   17.65| 6.978E-12
   17.92| 1.212E-11
   18.20| 2.085E-11
   18.48| 3.553E-11
   18.76| 6.000E-11
   19.05| 1.004E-10
   19.35| 1.666E-10
   19.65| 2.738E-10
   19.95| 4.464E-10
   20.26| 7.215E-10
   20.57| 1.157E-09
   20.89| 1.839E-09
   21.22| 2.899E-09
   21.54| 4.535E-09
   21.88| 7.039E-09
   22.22| 1.084E-08
   22.56| 1.657E-08
   22.91| 2.513E-08
   23.26| 3.784E-08
   23.62| 5.657E-08
   23.99| 8.395E-08
   24.36| 1.237E-07
   24.74| 1.811E-07
   25.12| 2.632E-07
   25.51| 3.799E-07
   25.90| 5.449E-07
   26.30| 7.763E-07
   26.71| 1.099E-06
   27.12| 1.546E-06
   27.54| 2.161E-06
   27.97| 3.002E-06
   28.40| 4.146E-06
   28.84| 5.691E-06
   29.29| 7.766E-06
   29.74| 1.054E-05
   30.20| 1.421E-05
   30.67| 1.907E-05
   31.14| 2.544E-05
   31.62| 3.376E-05
   32.11| 4.455E-05
   32.61| 5.849E-05
